,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Zhanaozen,43.3,52.8,57.58,78,10,13.71,KZ,2021-09-27 02:43:50
281,Sucua,-2.4667,-78.1667,65.48,97,100,4.27,EC,2021-09-27 02:43:50
282,Aklavik,68.2191,-135.0107,32.83,93,96,4.34,CA,2021-09-27 02:43:50
283,Chapais,49.7834,-74.8492,46.18,93,92,4.79,CA,2021-09-27 02:43:51
284,Port Blair,11.6667,92.75,81.72,81,100,10.6,IN,2021-09-27 02:43:51
285,Kutum,14.2,24.6667,70.57,70,37,5.21,SD,2021-09-27 02:38:18
286,Zambezi,-13.5432,23.1047,62.47,32,62,4.47,ZM,2021-09-27 02:43:52
287,Saint George,37.1041,-113.5841,84.94,27,1,1.99,US,2021-09-27 02:43:52
288,Bandarbeyla,9.4942,50.8122,78.76,75,7,15.43,SO,2021-09-27 02:43:53
289,Batemans Bay,-35.7167,150.1833,66.2,46,4,13.56,AU,2021-09-27 02:43:53
290,Ajmer,26.45,74.6333,80.26,75,13,10.76,IN,2021-09-27 02:43:54
291,Evensk,61.95,159.2333,45.07,44,12,3.42,RU,2021-09-27 02:39:19
292,Dehloran,32.6941,47.2679,79.57,16,0,3.33,IR,2021-09-27 02:43:54
293,Vagur,61.4732,-6.8119,49.87,87,95,12.93,FO,2021-09-27 02:43:55
294,Tshikapa,-6.4167,20.8,71.49,87,100,3.6,CD,2021-09-27 02:43:55
